captured_at,destination_id,destination_name,destination_timezone,park_id,park_name,entity_id,entity_name,entity_type,status,source_last_updated,standby_wait_minutes,single_rider_wait_minutes,paid_standby_wait_minutes,return_time_state,return_time_start,return_time_end,paid_return_time_state,paid_return_time_start,paid_return_time_end,paid_return_price_amount,paid_return_price_currency,boarding_group_state,boarding_group_current_start,boarding_group_current_end,boarding_group_next_allocation_time,boarding_group_estimated_wait_minutes
2026-07-17T01:08:29Z,a8ea944a-5ab7-42ed-bb02-ed08e64f125a,Six Flags Over Georgia,America/New_York,0c7ab128-259a-4390-93b9-d2e0233dfc16,Six Flags Over Georgia,3adda5b2-2e8c-46b8-a5fd-1ef3d62855a4,Tsunami Surge,ATTRACTION,CLOSED,2026-07-16T22:20:48.974Z,,,,,,,,,,,,,,,,
2026-07-17T01:08:29Z,a8ea944a-5ab7-42ed-bb02-ed08e64f125a,Six Flags Over Georgia,America/New_York,0c7ab128-259a-4390-93b9-d2e0233dfc16,Six Flags Over Georgia,8a6623cd-1007-4606-a39b-de82c22fecae,Rabun Gap Railroad Station,ATTRACTION,OPERATING,2026-07-16T14:03:32.907Z,,,,,,,,,,,,,,,,
2026-07-17T01:08:29Z,a8ea944a-5ab7-42ed-bb02-ed08e64f125a,Six Flags Over Georgia,America/New_York,0c7ab128-259a-4390-93b9-d2e0233dfc16,Six Flags Over Georgia,f2247705-20e6-470f-99ec-50f0d28eeebc,THE RIDDLER Mindbender,ATTRACTION,OPERATING,2026-07-17T00:35:49.805Z,0,,,,,,,,,,,,,,,
2026-07-17T01:08:29Z,a8ea944a-5ab7-42ed-bb02-ed08e64f125a,Six Flags Over Georgia,America/New_York,0c7ab128-259a-4390-93b9-d2e0233dfc16,Six Flags Over Georgia,6ca1958a-b6ac-400e-a319-280a5be3e528,Acrophobia,ATTRACTION,OPERATING,2026-07-16T23:06:09.050Z,0,,,,,,,,,,,,,,,
2026-07-17T01:08:29Z,a8ea944a-5ab7-42ed-bb02-ed08e64f125a,Six Flags Over Georgia,America/New_York,0c7ab128-259a-4390-93b9-d2e0233dfc16,Six Flags Over Georgia,df6a6fcc-ba58-4d76-a94c-b223994c5ac3,Dahlonega Mine Train,ATTRACTION,OPERATING,2026-07-16T22:20:48.742Z,0,,,,,,,,,,,,,,,
2026-07-17T01:08:29Z,a8ea944a-5ab7-42ed-bb02-ed08e64f125a,Six Flags Over Georgia,America/New_York,0c7ab128-259a-4390-93b9-d2e0233dfc16,Six Flags Over Georgia,37433fad-39ff-4f0a-b1f6-73da90497c86,The BATCOPTERS™,ATTRACTION,OPERATING,2026-07-17T00:12:28.120Z,,,,,,,,,,,,,,,,
2026-07-17T01:08:29Z,a8ea944a-5ab7-42ed-bb02-ed08e64f125a,Six Flags Over Georgia,America/New_York,0c7ab128-259a-4390-93b9-d2e0233dfc16,Six Flags Over Georgia,dcea853b-6a69-42f6-843d-5708040660da,Log Jamboree,ATTRACTION,OPERATING,2026-07-16T22:20:48.998Z,0,,,,,,,,,,,,,,,
2026-07-17T01:08:29Z,a8ea944a-5ab7-42ed-bb02-ed08e64f125a,Six Flags Over Georgia,America/New_York,0c7ab128-259a-4390-93b9-d2e0233dfc16,Six Flags Over Georgia,9dc2ca84-badb-400b-bbb0-aa595fa9c29b,Bonzai Pipelines,ATTRACTION,CLOSED,2026-07-16T22:20:48.901Z,,,,,,,,,,,,,,,,
2026-07-17T01:08:29Z,a8ea944a-5ab7-42ed-bb02-ed08e64f125a,Six Flags Over Georgia,America/New_York,0c7ab128-259a-4390-93b9-d2e0233dfc16,Six Flags Over Georgia,51894ebd-53b0-41e2-acc6-92d8caa806da,ACME Trucking Company,ATTRACTION,OPERATING,2026-07-17T00:12:28.036Z,,,,,,,,,,,,,,,,
2026-07-17T01:08:29Z,a8ea944a-5ab7-42ed-bb02-ed08e64f125a,Six Flags Over Georgia,America/New_York,0c7ab128-259a-4390-93b9-d2e0233dfc16,Six Flags Over Georgia,581570e9-7d58-4428-8a4a-e500a7bca6f4,Looney Tunes Adventure Camp,ATTRACTION,OPERATING,2026-07-16T22:20:49.027Z,,,,,,,,,,,,,,,,
